Date_Time,wtr_0.5,wtr_1.0,wtr_1.5,wtr_2.0,wtr_2.5,Diff (1.5-0.5),Diff (2.5-1.5),Diff (2-1)
10/19/2023 12:00,18.236,17.665,17.665,16.523,16.427,No,Yes,Yes
10/19/2023 13:00,19.377,17.094,18.045,16.903,17.284,Yes,No,No
10/19/2023 15:00,16.237,16.332,16.523,16.903,17.379,No,No,No
10/19/2023 16:00,16.237,16.332,16.427,16.903,17.189,No,No,No
10/19/2023 17:00,16.332,16.237,16.523,16.808,17.284,No,No,No
10/19/2023 18:00,16.332,16.332,16.523,16.713,17.094,No,No,No
10/19/2023 19:00,16.332,16.332,16.427,16.713,17.094,No,No,No
10/19/2023 20:00,16.237,16.332,16.427,16.808,17.094,No,No,No
10/19/2023 21:00,16.237,16.427,16.427,16.713,16.999,No,No,No
10/19/2023 22:00,16.237,16.332,16.523,16.808,16.903,No,No,No
10/19/2023 23:00,16.332,16.237,16.523,16.713,16.808,No,No,No
10/20/2023 0:00,16.332,16.237,16.523,16.713,16.713,No,No,No
10/20/2023 1:00,16.332,16.332,16.523,16.713,16.618,No,No,No
10/20/2023 2:00,16.332,16.332,16.523,16.618,16.523,No,No,No
10/20/2023 3:00,16.332,16.332,16.523,16.523,16.523,No,No,No
10/20/2023 4:00,16.332,16.332,16.427,16.427,16.427,No,No,No
10/20/2023 5:00,16.332,16.332,16.427,16.427,16.332,No,No,No
10/20/2023 6:00,16.332,16.237,16.332,16.332,16.237,No,No,No
10/20/2023 7:00,16.237,16.237,16.332,16.237,16.237,No,No,No
10/20/2023 8:00,16.237,16.237,16.237,16.237,16.141,No,No,No
10/20/2023 9:00,16.046,16.141,16.141,16.237,16.427,No,No,No
10/20/2023 10:00,15.951,16.141,16.141,16.237,16.713,No,No,No
10/20/2023 11:00,16.141,16.237,16.237,16.332,17.094,No,No,No
10/20/2023 12:00,16.141,16.141,16.237,16.332,17.475,No,Yes,No
10/20/2023 13:00,16.046,16.141,16.237,16.427,17.855,No,Yes,No
10/20/2023 14:00,16.141,16.141,16.237,16.427,18.14,No,Yes,No
10/20/2023 15:00,16.141,16.141,16.237,16.523,18.616,No,Yes,No
10/20/2023 16:00,16.141,16.141,16.332,16.427,18.806,No,Yes,No
10/20/2023 17:00,16.141,16.141,16.332,16.427,18.616,No,Yes,No
10/20/2023 18:00,16.141,16.141,16.332,16.523,18.331,No,Yes,No
10/20/2023 19:00,16.141,16.141,16.332,16.523,18.14,No,Yes,No
10/20/2023 20:00,16.141,16.141,16.332,16.523,18.045,No,Yes,No
10/20/2023 21:00,16.141,16.141,16.237,16.427,17.855,No,Yes,No
10/20/2023 22:00,16.141,16.141,16.332,16.523,17.76,No,Yes,No
10/20/2023 23:00,16.141,16.141,16.332,16.523,17.57,No,Yes,No
10/21/2023 0:00,16.237,16.237,16.332,16.523,17.379,No,Yes,No
10/21/2023 1:00,16.141,16.141,16.332,16.523,17.189,No,No,No
10/21/2023 2:00,16.141,16.141,16.332,16.523,17.094,No,No,No
10/21/2023 3:00,16.141,16.141,16.332,16.427,16.999,No,No,No
10/21/2023 4:00,16.141,16.141,16.332,16.523,16.903,No,No,No
10/21/2023 5:00,16.237,16.141,16.332,16.523,16.713,No,No,No
10/21/2023 6:00,16.237,16.141,16.332,16.427,16.618,No,No,No
10/21/2023 7:00,16.237,16.237,16.332,16.618,16.523,No,No,No
10/21/2023 8:00,16.237,16.141,16.332,16.523,16.523,No,No,No
10/21/2023 9:00,16.237,16.141,16.332,16.523,16.903,No,No,No
10/21/2023 10:00,16.237,16.237,16.332,16.523,17.475,No,Yes,No
10/21/2023 11:00,16.237,16.237,16.427,16.713,18.14,No,Yes,No
10/21/2023 12:00,16.237,16.237,16.427,16.903,17.95,No,Yes,No
10/21/2023 13:00,16.237,16.237,16.332,16.713,18.711,No,Yes,No
10/21/2023 14:00,16.332,16.332,16.523,16.713,18.331,No,Yes,No
10/21/2023 15:00,16.332,16.332,16.523,16.808,18.616,No,Yes,No
10/21/2023 16:00,16.237,16.332,16.618,16.903,18.711,No,Yes,No
10/21/2023 17:00,16.237,16.237,16.523,16.903,18.521,No,Yes,No
10/21/2023 18:00,16.332,16.237,16.523,16.999,18.045,No,Yes,No
10/21/2023 19:00,16.332,16.237,16.523,16.903,17.855,No,Yes,No
10/21/2023 20:00,16.332,16.427,16.523,16.903,17.76,No,Yes,No
10/21/2023 21:00,16.332,16.332,16.523,16.903,17.665,No,Yes,No
10/21/2023 22:00,16.332,16.332,16.523,16.999,17.57,No,Yes,No
10/21/2023 23:00,16.332,16.332,16.427,16.903,17.475,No,Yes,No
10/22/2023 0:00,16.332,16.332,16.523,16.903,17.379,No,No,No
